seed,repetition,opponent,target_avg,opponent_avg,margin
0,12,Du,0.995,1.02,-0.025000000000000022
0,12,Tit For Tat,3.0,2.975,0.02499999999999991
0,12,spiteful,3.0,2.975,0.02499999999999991
0,12,soft_majo,3.02,2.97,0.04999999999999982
0,12,hard_majo,1.03,1.03,0.0
0,12,per_cd,2.98,0.555,2.425
0,12,per_ccd,3.42,1.245,2.175
0,12,per_ddc,2.315,0.69,1.625
0,12,mistrust,1.03,1.03,0.0
0,12,WSLS,3.0,2.975,0.02499999999999991
0,12,TFTT,3.02,2.97,0.04999999999999982
0,12,hard_tft,3.0,2.975,0.02499999999999991
0,12,slow_tft,3.02,2.97,0.04999999999999982
0,12,GrdTFT,3.0,2.975,0.02499999999999991
0,12,prober,2.995,2.97,0.02499999999999991
0,12,mem2,3.0,2.975,0.02499999999999991
0,12,grok:grok-3-mini,3.0,2.975,0.02499999999999991
0,12,Tideman & Chieruzzi,2.98,2.98,0.0
0,12,Nydegger,3.02,2.97,0.04999999999999982
0,12,Grofman,3.0,2.975,0.02499999999999991
0,12,Shubik,3.0,2.975,0.02499999999999991
0,12,Stein & Rapoport: 0.05,2.98,2.98,0.0
0,12,GRIM,3.0,2.975,0.02499999999999991
0,12,Davis: 10,3.0,2.975,0.02499999999999991
0,12,Graaskamp: 0.05,2.78,3.13,-0.3500000000000001
0,12,Downing,3.02,2.92,0.10000000000000009
0,12,"Feld: 1.0, 0.5, 200",1.36,1.435,-0.07499999999999996
0,12,Joss: 0.9,2.195,2.77,-0.5750000000000002
0,12,Tullock,1.955,2.18,-0.2250000000000001
0,12,Anonymous,2.835,0.685,2.15
0,12,Random: 0.5,2.98,0.805,2.175
0,13,Cu,3.02,2.97,0.04999999999999982
0,13,Du,0.995,1.02,-0.025000000000000022
0,13,Tit For Tat,3.0,2.975,0.02499999999999991
0,13,spiteful,3.0,2.975,0.02499999999999991
0,13,soft_majo,3.02,2.97,0.04999999999999982
0,13,hard_majo,1.03,1.03,0.0
0,13,per_cd,2.98,0.555,2.425
0,13,per_ccd,3.42,1.245,2.175
0,13,per_ddc,2.315,0.69,1.625
0,13,mistrust,1.03,1.03,0.0
0,13,WSLS,3.0,2.975,0.02499999999999991
0,13,TFTT,3.02,2.97,0.04999999999999982
0,13,hard_tft,3.0,2.975,0.02499999999999991
0,13,slow_tft,3.02,2.97,0.04999999999999982
0,13,GrdTFT,3.0,2.975,0.02499999999999991
0,13,prober,2.995,2.97,0.02499999999999991
0,13,mem2,3.0,2.975,0.02499999999999991
0,13,grok:grok-3-mini,3.0,2.975,0.02499999999999991
0,13,Tideman & Chieruzzi,2.98,2.98,0.0
0,13,Nydegger,3.02,2.97,0.04999999999999982
0,13,Grofman,3.0,2.975,0.02499999999999991
0,13,Shubik,3.0,2.975,0.02499999999999991
0,13,Stein & Rapoport: 0.05,2.98,2.98,0.0
0,13,GRIM,3.0,2.975,0.02499999999999991
0,13,Davis: 10,3.0,2.975,0.02499999999999991
0,13,Graaskamp: 0.05,2.795,3.12,-0.3250000000000002
0,13,Downing,3.02,2.92,0.10000000000000009
0,13,"Feld: 1.0, 0.5, 200",1.6,1.75,-0.1499999999999999
0,13,Joss: 0.9,1.555,1.63,-0.07499999999999996
0,13,Tullock,2.025,2.225,-0.20000000000000018
0,13,Anonymous,2.67,0.695,1.975
0,13,Random: 0.5,2.92,0.595,2.325
0,14,Cu,3.02,2.97,0.04999999999999982
0,14,Du,0.995,1.02,-0.025000000000000022
0,14,Tit For Tat,3.0,2.975,0.02499999999999991
0,14,spiteful,3.0,2.975,0.02499999999999991
0,14,soft_majo,3.02,2.97,0.04999999999999982
0,14,hard_majo,1.03,1.03,0.0
0,14,per_cd,2.98,0.555,2.425
0,14,per_ccd,3.42,1.245,2.175
0,14,per_ddc,2.315,0.69,1.625
0,14,mistrust,1.03,1.03,0.0
0,14,WSLS,3.0,2.975,0.02499999999999991
0,14,TFTT,3.02,2.97,0.04999999999999982
0,14,hard_tft,3.0,2.975,0.02499999999999991
0,14,slow_tft,3.02,2.97,0.04999999999999982
0,14,GrdTFT,3.0,2.975,0.02499999999999991
0,14,prober,2.995,2.97,0.02499999999999991
0,14,mem2,3.0,2.975,0.02499999999999991
0,14,grok:grok-3-mini,3.0,2.975,0.02499999999999991
0,14,Tideman & Chieruzzi,2.98,2.98,0.0
0,14,Nydegger,3.02,2.97,0.04999999999999982
0,14,Grofman,3.0,2.975,0.02499999999999991
0,14,Shubik,3.0,2.975,0.02499999999999991
0,14,Stein & Rapoport: 0.05,2.98,2.98,0.0
0,14,GRIM,3.0,2.975,0.02499999999999991
0,14,Davis: 10,3.0,2.975,0.02499999999999991
0,14,Graaskamp: 0.05,2.795,3.12,-0.3250000000000002
0,14,Downing,3.02,2.92,0.10000000000000009
0,14,"Feld: 1.0, 0.5, 200",1.775,1.975,-0.20000000000000018
0,14,Joss: 0.9,2.445,2.795,-0.3500000000000001
0,14,Tullock,2.76,3.135,-0.375
0,14,Anonymous,2.965,0.99,1.9749999999999999
0,14,Random: 0.5,2.72,0.77,1.9500000000000002
0,15,Cu,3.02,2.97,0.04999999999999982
0,15,Du,0.995,1.02,-0.025000000000000022
0,15,Tit For Tat,3.0,2.975,0.02499999999999991
0,15,spiteful,3.0,2.975,0.02499999999999991
0,15,soft_majo,3.02,2.97,0.04999999999999982
