i,objective,rank,avg,gap,head_mean,head_min,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold
49,2.68523143939394,1,2.7523939393939396,0.021999999999999797,0.2803125,-1.2600000000000002,0.7513836942622009,1.8234303275541697,1.1259692904083938,0.13908984154735762,0.17689569304002872,0.4460008934266939,0.6400178060332631,0.7346638191621144,0.7695046645742831,0.4023971467233447,0.2925032254351387,2,10,2.8155883847914764,0.4029566642020577,0.6484376086399941,0.3709448053698623,0.7390055922226132,0.22694370939608155,0.4929870909314944,0.3989988107603538,0.6500510730900229,0.8298343738790801,0.38216691879784126,0.24488171352124277,-0.05083154450542581
12,2.680296969696967,1,2.751696969696967,0.015878787878784273,0.27499999999999997,-1.3050000000000002,0.7155476749956109,1.7425878916457516,1.2097723339940714,0.17335334036784225,0.1610121370129416,0.45033962484222123,0.7208963366761995,0.7871223875384806,0.6773606077733092,0.3351947024689576,0.28807713847074945,1,8,2.7672873424671995,0.42349157964729,0.6025867516615226,0.3666438264551586,0.690542311393404,0.23733707744263394,0.4926095591512403,0.3624617080121459,0.6064222778455454,0.7225622756191615,0.33634722466987504,0.32571111949954445,-0.05726280300976685
79,2.6798895833333325,1,2.7433333333333323,0.00957575757575535,0.25796874999999997,-1.1800000000000002,0.7298804159154648,1.7009764015478117,1.08853676812434,0.18733290820554033,0.19180308702545876,0.5274125532906484,0.7337785137378745,0.7816798535689464,0.8077438804083859,0.36547050789910696,0.15822652521281716,2,8,2.8097455160361298,0.527988521276196,0.5865188333800082,0.2636288494109497,0.6780165469857669,0.12841650251567827,0.5272158097634916,0.39909229864220225,0.6965856824441619,0.7767309513998338,0.26344712412602495,0.28190816043044975,-0.09292247134228449
74,2.6786056818181794,1,2.7478181818181793,0.014848484848481114,0.25656249999999997,-1.25,0.682494039703929,1.7319234138522421,1.0525338142162413,0.1348728949381484,0.1983534075648512,0.46281948803443707,0.6110528583031982,0.7774740110386275,0.7930768189637193,0.3727666526870557,0.1729376897104726,1,6,2.7444437535128277,0.5225727232882982,0.7058844014502806,0.3048206749711972,0.8009711844616472,0.1310216455620325,0.4114529029674446,0.40256665338982056,0.6568748716043582,0.8241936519975515,0.32668030681884647,0.2911969934722222,0.038474165317333144
53,2.678069318181816,1,2.7511818181818155,0.023090909090905942,0.2740625,-1.325,0.7689725717171605,1.7145697077675905,1.1448244767983138,0.24998908796956254,0.19354098057381425,0.45510009218833913,0.6471560339883066,0.739953056694286,0.6655823101837726,0.3156769068563833,0.2332604720622373,1,7,2.7576904500770976,0.568957126971049,0.6269476531405084,0.2737355207193652,0.725354019553342,0.19257771820017783,0.43038522202008667,0.3633505531060902,0.6717955821061614,0.7278563099327572,0.33702799247338533,0.31695209440420874,-0.057636035099624915
0,2.677923484848484,1,2.744848484848484,0.012212121212119786,0.2656249999999999,-1.2349999999999999,0.6342481758161511,1.694123868403621,1.1175436821872637,0.11107603759015025,0.2983888204722711,0.43416858657637153,0.6896933264054282,0.6942536317615488,0.793537859028699,0.28712398347551515,0.20408766513748408,2,10,2.7011172046042264,0.3545909328590135,0.6382511269464349,0.23080315996006767,0.7692419143180785,0.11576531383346919,0.4226014357977381,0.33934147332911097,0.6993077843655199,0.7241613298205593,0.25209601030904016,0.29864649509740826,-0.09531736604392257
13,2.6776490530303,1,2.7390303030303,0.0012121212121178893,0.26515625,-1.165,0.6460535154012832,1.7562002657887605,1.188602156485049,0.0946944476100993,0.28041039177372606,0.44187305786874903,0.6090675760257379,0.6645274696596538,0.7304210086267058,0.4114916056909812,0.25594190107711046,1,6,2.6786853916334863,0.4649103019184413,0.5828929761790391,0.32372093745372116,0.7310552664998464,0.25755730817320155,0.503280085311829,0.39831515661137296,0.5920652856588067,0.7783271362026422,0.3368017612712461,0.1865394908944102,-0.09812404743870673
57,2.6775837121212094,1,2.7491212121212096,0.018212121212118237,0.26718749999999997,-1.295,0.7465196306764376,1.7504308230864662,1.1362708060955826,0.16651227470580096,0.1625570356917339,0.4385398341661723,0.6304927551730981,0.7786528456102744,0.7802795374914349,0.4054341417929658,0.1836162114188465,1,8,2.786494919638922,0.450382391756279,0.6931842752896177,0.35984869359427374,0.7510778147844713,0.26191184861680106,0.39335568213846744,0.3453404467487924,0.7083158130999814,0.7270617036749162,0.3761618020324682,0.2283423094627705,-0.05173666393817792
47,2.675306060606059,1,2.747606060606059,0.013545454545452085,0.2575,-1.2899999999999998,0.7507591497324616,1.7963337870523817,1.090157341940942,0.24919994568703685,0.22493578076747242,0.42808282416627225,0.6102775148690682,0.6880177765413822,0.8123017124481365,0.40162139097260463,0.21786086366116275,1,7,2.82590431879995,0.553371374612465,0.571987178314365,0.3051240786025115,0.69329457093008,0.13307670441940433,0.49773158232686693,0.4042419174145039,0.7011761116139904,0.8433798364560599,0.23037753917886067,0.3129121708607615,-0.0422844859050261
46,2.675145643939393,1,2.7429393939393933,0.012545454545453527,0.29171874999999997,-1.2850000000000001,0.6616123750090055,1.754049058496143,1.1390162017623415,0.16696485517797865,0.18778609036860977,0.5676291789654607,0.630854162565517,0.7794553521705893,0.7052988068278213,0.3117492848955331,0.19545763202586497,2,8,2.8395832499927143,0.4545129480106225,0.6852008128070024,0.28860666189223927,0.6990359357220979,0.15097793373079121,0.4708854172111834,0.40498927045367433,0.5899522302547191,0.7790526032045347,0.359560691183309,0.22218912027765902,0.08432077117023934
63,2.6734624999999967,1,2.7449999999999966,0.013030303030298729,0.2571875,-1.2799999999999998,0.6630396299741187,1.8221707097101452,1.058913143900833,0.19019015653904045,0.23687921474111462,0.4488492735179375,0.7113946760800314,0.7041477409418799,0.7518985395732134,0.35958236758720585,0.2295622142218246,1,6,2.7563720665677445,0.44295686842991044,0.6955285825056844,0.255345354358035,0.7849304418019604,0.21049128810349002,0.49290998001559894,0.40025173914973927,0.6131055542603122,0.8072794125469812,0.2388571100959977,0.17506672802889478,0.11098418282322017
14,2.6715490530303017,1,2.7330303030303016,0.0038484848484823253,0.29765625,-1.215,0.6782511097969466,1.7442878521975933,1.1782877722226412,0.22418835160264372,0.163469821605404,0.43840047192755716,0.7518654194241482,0.6871928761435427,0.6772223064428993,0.3883977941789681,0.27573108240519933,2,8,2.8766402487505287,0.48743335760070955,0.6277447507425411,0.23762516543209927,0.7403245951385625,0.10990050598460885,0.4184206177380744,0.3177657704093837,0.689107894180401,0.8373945512124805,0.3103659910169263,0.17269882027459624,-0.029821614922729285
61,2.6715011363636356,1,2.7363636363636354,0.00033333333333196435,0.24281249999999996,-1.175,0.7297609454566305,1.6905636056511075,1.1817736689189537,0.16230936650380187,0.20057527283625867,0.4299312453457696,0.7133711022475753,0.6721578285391949,0.7120440529205186,0.40885741699076233,0.1936269321550967,2,8,2.7810387348064816,0.4552391018730991,0.6429887133182041,0.29968684029209514,0.676466535379976,0.17233159788184166,0.38009150383865586,0.37460492073252516,0.5949481580451241,0.7348340274510946,0.28415704028053623,0.19334543307290925,-0.06689976050274915
77,2.6702509469696953,1,2.7359696969696956,0.007484848484846651,0.28234375,-1.2449999999999999,0.6826532794341605,1.7751619218793044,1.180069926041167,0.24925254061593932,0.27750320837085096,0.5107687300214925,0.7023075375404303,0.7024612084985216,0.7798147806607876,0.39354603441730024,0.15546806479924263,2,10,2.832253346404942,0.45720737925521837,0.72356436591159,0.29507240091383874,0.6751730388186858,0.2134475942584442,0.43449187696341274,0.37084159045496673,0.5904862326266501,0.8302543629123903,0.30044810657346027,0.29713434541988687,-0.05669555806400119
76,2.668477083333333,3,2.730333333333333,-0.005393939393940617,0.28453125,-1.2,0.701532147838086,1.7206889908151066,1.0546004065764631,0.10395098631179597,0.16801970650961454,0.4561427976519642,0.7101803188074882,0.7589244207894131,0.7905713690277403,0.32563064409657166,0.24772777875898105,2,6,2.7195080595934837,0.48345810732641337,0.6952494659294526,0.3461887006505431,0.7782638061574824,0.12684758083749692,0.5049125978878136,0.40629365696496755,0.6813109369455549,0.8473037644947105,0.3618599176983452,0.19314668768744034,0.10057261789357408
27,2.6684484848484833,1,2.7388484848484835,0.011757575757574745,0.27999999999999997,-1.3,0.7715675171286593,1.706199662656886,1.1265529614571435,0.22006751685860032,0.2303618567038091,0.4995722746305965,0.7331000028739199,0.6842498267149422,0.772352345128898,0.3085274057647285,0.25434159145361573,2,6,2.859830748092791,0.500739201925377,0.6199833471302617,0.3073817182681572,0.7716569135084062,0.12527572274344967,0.49600544552774634,0.293372022371486,0.6210427894415188,0.7907963433734724,0.337680741987126,0.21586869418072419,-0.04399875665376903
