i,rank,avg,gap,head_mean,head_min,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold
29,1,2.7462878787878737,0.018909090909091653,0.28179687499999995,-1.1775,0.7885045637630929,1.7256592743456995,1.1648085193509494,0.1415919740645129,0.20652615059346724,0.4283548731675589,0.6249921618115976,0.7259960150448559,0.6908102763225475,0.28399834607785646,0.2532232817531477,2,5,2.8067839036919042,0.3556690492634885,0.7074124570393725,0.20127296547026569,0.7905140392359998,0.2238204179917663,0.4753851431184046,0.35188859566507164,0.675615349685223,0.7037956438632925,0.37666029771775605,0.2739006667372594,0.03171804090195908
15,1,2.7460681818181767,0.018689393939394616,0.281015625,-1.1775,0.7573029658363277,1.7079004808104028,1.194505679054744,0.14966968209874393,0.2396478968623631,0.41911485984894137,0.6168302031097465,0.7238594318306373,0.7235542902709358,0.2897816645613123,0.2648542265743687,2,6,2.876453681110794,0.3466447681584433,0.703943574143725,0.260417403385669,0.7413461400465376,0.18131073740058357,0.49705984057969893,0.3804530077796705,0.6243681156199787,0.7069554184114374,0.3265052658407353,0.2841937827999712,0.12258781579742516
26,1,2.7459393939393886,0.0185606060606065,0.28078125,-1.1775,0.7916555861198911,1.6961155101198204,1.1449974370188651,0.19107071742365522,0.2342511523138076,0.45330819109511566,0.6160604427042393,0.742192047368619,0.7223391209528757,0.2606931738266401,0.23245528138008376,2,7,2.9135820541556083,0.35018925016623614,0.6634838761704944,0.21964753266406933,0.7371830032864484,0.14628101868072607,0.42507473669071055,0.3783501965031854,0.6853941330475339,0.766408604982856,0.3354316118307614,0.3378718083467989,0.11557879581221193
0,1,2.7458863636363597,0.018507575757577666,0.2802343749999999,-1.1775,0.8026937507965625,1.691022249176296,1.2046913997143431,0.18669841669231738,0.2334414643279226,0.4050746903256144,0.6660611069656587,0.700840412848777,0.7492487490793353,0.30565918460847763,0.19701805377337098,2,6,2.8320884073718946,0.41884722169726557,0.6947921668635687,0.20763040161875068,0.7857462779243639,0.22408834544592848,0.43627193189050734,0.3575608180365115,0.622533000362037,0.7018744859885767,0.3334648128054957,0.3387615649792304,0.05535241083957117
6,1,2.7447575757575735,0.017378787878791435,0.27671874999999996,-1.1775,0.7622629992284604,1.7313399013235353,1.1847527290877173,0.1677605584920767,0.24775052357793687,0.42691528429237996,0.6065722728866413,0.7527853522113871,0.7396302611922939,0.27216468667720267,0.1932679508172492,2,8,2.9182346670428134,0.3967976298560357,0.688163995264711,0.1930137919858838,0.7270728490076689,0.19433929812527517,0.4487675622978815,0.37943076259709235,0.6620900760277332,0.7210639999669518,0.33403350435450363,0.33010532681115273,0.08771665236863191
30,1,2.7440454545454505,0.016363636363637912,0.26312499999999994,-1.18625,0.7571637142484928,1.685464389014993,1.1477293321740527,0.2067226894163915,0.27400871192165205,0.41233481618940615,0.6402745554225304,0.6894210611925867,0.7267546789596985,0.27502217614205726,0.2594504257763106,1,8,2.821821145006964,0.3903572792444814,0.7088139905249419,0.19192771056611424,0.7572149751613594,0.21149126359546452,0.4597360334594513,0.3804700697506684,0.6668104973713653,0.7739248023705929,0.33806348683031934,0.33082733353525273,0.042621429334456076
19,1,2.742378787878784,0.0150000000000019,0.2698828125,-1.1775,0.7758398224036879,1.6993472439299533,1.1435974463704266,0.17629147626427374,0.2499927400854941,0.43756066057080517,0.610965345797468,0.696448314782558,0.7368659086167116,0.3157613996679076,0.2599840280181742,2,7,2.878871384231391,0.40368425440909816,0.6469959431848603,0.26219362503500915,0.7766380665471607,0.16868854970282945,0.44920846992267227,0.32963517322942626,0.668517842322426,0.7347571064213302,0.3858219145851676,0.28775945426462374,0.004867792734631601
28,1,2.7411893939393903,0.013810606060608244,0.26640624999999996,-1.1775,0.7817909556965545,1.7207353331680715,1.1457651055543066,0.15666101131327675,0.2569836169175488,0.408242213125087,0.6560406990310095,0.7014420004139738,0.7105944865999545,0.2602378987586717,0.20457290811252507,2,5,2.8588864858212,0.4747978395264791,0.706926158690906,0.25282362564254346,0.7292138451401701,0.15976345223762048,0.45918942929531087,0.35723758526610355,0.6832229283781771,0.7680930454387606,0.3841706193349107,0.2776231150729047,0.10653317386679119
14,1,2.739462121212116,0.01208333333333389,0.26191406249999993,-1.1775,0.8076764351675383,1.7036352707699471,1.1641155425043237,0.21811326703798978,0.26056880683986555,0.39622452378462736,0.6788138139484539,0.7071845719370516,0.746437891455364,0.2916820912748646,0.26548156128234285,2,6,2.921317819498495,0.3538712969583696,0.7032624071172588,0.19179459858377057,0.7249144825458388,0.1499254144458595,0.46902711957270277,0.3768599691412024,0.6909997983907341,0.7148268585081329,0.3191781230023686,0.3113340009244503,-0.016037885470930227
5,3,2.690492424242425,-0.036886363636357,0.29464843749999997,-1.17625,0.765988484857379,1.7517969165301726,1.1889972432326281,0.19510771901015042,0.19639121915647018,0.45612094913916573,0.6605617275197309,0.723407815514298,0.7313843779922664,0.2615043606302647,0.230029824675542,2,9,2.8410362997928935,0.45245257275145123,0.6845703178876468,0.21481927399626832,0.7331865671683501,0.19391368009001553,0.4615239155536711,0.3219125286649926,0.6168373844248609,0.7637516410896638,0.3769504228333603,0.2784002215122287,0.125586990482851
9,3,2.690340909090906,-0.03734090909090648,0.28132812499999993,-1.18625,0.7599247708989662,1.6982869125623696,1.1486978634483587,0.19039032922875765,0.21097053292142495,0.4705665133595024,0.6377306185045808,0.6815917197010964,0.7054682168101755,0.24517781167310937,0.2086930522050817,1,6,2.9384623377155714,0.4599372943762402,0.6563856125921457,0.21011438766026375,0.7504012629497285,0.19782983075004154,0.4667704931473556,0.3482640277902624,0.6462014286237006,0.762607213598329,0.3586558196873272,0.30839841438098314,0.09528370783646116
35,3,2.6899393939393947,-0.03743939393938733,0.292265625,-1.1775,0.7594498480832644,1.736333049832145,1.205634410312955,0.16962623704993998,0.20359600309638026,0.4001654650850225,0.6691325294390414,0.6815781909897202,0.7565779000975574,0.2551293667753141,0.2266730657929323,2,8,2.9108290012884486,0.3738369249200856,0.6466968653176748,0.25010492166996434,0.7725553330361292,0.21851176747170686,0.47289526692406325,0.37868551735001243,0.694845351897295,0.737549518666307,0.3665576037360841,0.2705908664377933,0.11895554156298922
1,3,2.689818181818185,-0.03756060606059686,0.2928125,-1.1775,0.755090242080813,1.738620121453961,1.1480852836540865,0.2115999996204775,0.23833854522630826,0.4684033097562764,0.6394672425530052,0.731095187117433,0.7452449922734155,0.24842447882768626,0.24150548175553177,2,5,2.909565519284091,0.36636775899854745,0.6475346534257439,0.2547478669098345,0.7337932170710605,0.2088575693418072,0.44005969323092947,0.3471773211286953,0.6199254089963362,0.7618392913548435,0.35374064770798325,0.2698891439251704,0.12149650340389188
18,3,2.6895075757575766,-0.03787121212120548,0.29312499999999997,-1.1775,0.7711898745449408,1.707008733636807,1.2145078888917833,0.21935901583949266,0.23698011411939252,0.44843271186466654,0.6067310122528884,0.719910235186745,0.6888091597766942,0.289686938528079,0.2565257296452619,2,6,2.892375147574595,0.3845575028856083,0.6739375565479995,0.21068323346059653,0.7783040727915151,0.20503326715740777,0.42012129636339846,0.33667480551516665,0.6450382814496936,0.7312738336993513,0.3959571822291924,0.27760936908730643,0.11065669667718266
17,3,2.6880530303030308,-0.0393257575757513,0.2856640625,-1.1775,0.744266098832906,1.6938164667342608,1.2102888950261002,0.14463799593944568,0.24539161828136533,0.40907256963863253,0.6512023758394773,0.7001984467996589,0.7490185502591917,0.2760884981227846,0.24341037124220252,2,9,2.914325965401288,0.4456189960427217,0.6891893862017537,0.26609705923727006,0.7583686674269442,0.16453146852378353,0.42457276586439335,0.3449852212679177,0.6283079490390635,0.7433265430247341,0.3194846643686225,0.3345426178956846,0.12782178176333925
12,3,2.685606060606062,-0.04177272727272019,0.2784375,-1.1775,0.813225987957755,1.746956064363098,1.1700340349630385,0.15999634033047033,0.26604063887747426,0.4241201452141335,0.6633245601213609,0.6764263668621525,0.7276802995478346,0.24628037328898003,0.22206875272559032,2,9,2.7970043293095435,0.3560060607196976,0.6752143366469227,0.25690159238110505,0.7628372996224809,0.21236103137275292,0.42564544108456703,0.3486051883179394,0.662597941485003,0.7310234908958384,0.34873573759117604,0.28962831782422993,0.08903387038899185
