seed,repetition,opponent,eleanor_avg,opponent_avg,margin
0,2,hard_tft,3.01,2.985,0.02499999999999991
0,2,slow_tft,3.01,2.985,0.02499999999999991
0,2,GrdTFT,3.01,2.985,0.02499999999999991
0,2,prober,3.005,2.98,0.02499999999999991
0,2,mem2,3.01,2.985,0.02499999999999991
0,2,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,2,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,2,Nydegger,3.01,2.985,0.02499999999999991
0,2,Grofman,3.01,2.985,0.02499999999999991
0,2,Shubik,3.01,2.985,0.02499999999999991
0,2,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,2,GRIM,3.01,2.985,0.02499999999999991
0,2,Davis: 10,3.01,2.985,0.02499999999999991
0,2,Graaskamp: 0.05,3.435,2.135,1.3000000000000003
0,2,Downing,1.125,1.05,0.07499999999999996
0,2,"Feld: 1.0, 0.5, 200",1.33,1.53,-0.19999999999999996
0,2,Joss: 0.9,2.36,2.585,-0.2250000000000001
0,2,Tullock,1.51,1.56,-0.050000000000000044
0,2,Anonymous,2.665,0.665,2.0
0,2,Random: 0.5,2.7,0.75,1.9500000000000002
0,3,Cu,3.01,2.985,0.02499999999999991
0,3,Du,0.975,1.1,-0.1250000000000001
0,3,Tit For Tat,3.01,2.985,0.02499999999999991
0,3,spiteful,3.01,2.985,0.02499999999999991
0,3,soft_majo,3.01,2.985,0.02499999999999991
0,3,hard_majo,2.99,2.99,0.0
0,3,per_cd,2.685,1.31,1.375
0,3,per_ccd,3.29,1.19,2.1
0,3,per_ddc,2.29,0.765,1.525
0,3,mistrust,2.99,2.99,0.0
0,3,WSLS,3.01,2.985,0.02499999999999991
0,3,TFTT,3.01,2.985,0.02499999999999991
0,3,hard_tft,3.01,2.985,0.02499999999999991
0,3,slow_tft,3.01,2.985,0.02499999999999991
0,3,GrdTFT,3.01,2.985,0.02499999999999991
0,3,prober,3.005,2.98,0.02499999999999991
0,3,mem2,3.01,2.985,0.02499999999999991
0,3,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,3,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,3,Nydegger,3.01,2.985,0.02499999999999991
0,3,Grofman,3.01,2.985,0.02499999999999991
0,3,Shubik,3.01,2.985,0.02499999999999991
0,3,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,3,GRIM,3.01,2.985,0.02499999999999991
0,3,Davis: 10,3.01,2.985,0.02499999999999991
0,3,Graaskamp: 0.05,3.46,2.135,1.3250000000000002
0,3,Downing,1.125,1.05,0.07499999999999996
0,3,"Feld: 1.0, 0.5, 200",1.785,2.135,-0.34999999999999987
0,3,Joss: 0.9,2.43,2.68,-0.25
0,3,Tullock,1.44,1.415,0.02499999999999991
0,3,Anonymous,3.05,0.575,2.4749999999999996
0,3,Random: 0.5,2.885,0.685,2.1999999999999997
0,4,Cu,3.01,2.985,0.02499999999999991
0,4,Du,0.975,1.1,-0.1250000000000001
0,4,Tit For Tat,3.01,2.985,0.02499999999999991
0,4,spiteful,3.01,2.985,0.02499999999999991
0,4,soft_majo,3.01,2.985,0.02499999999999991
0,4,hard_majo,2.99,2.99,0.0
0,4,per_cd,2.685,1.31,1.375
0,4,per_ccd,3.29,1.19,2.1
0,4,per_ddc,2.29,0.765,1.525
0,4,mistrust,2.99,2.99,0.0
0,4,WSLS,3.01,2.985,0.02499999999999991
0,4,TFTT,3.01,2.985,0.02499999999999991
0,4,hard_tft,3.01,2.985,0.02499999999999991
0,4,slow_tft,3.01,2.985,0.02499999999999991
0,4,GrdTFT,3.01,2.985,0.02499999999999991
0,4,prober,3.005,2.98,0.02499999999999991
0,4,mem2,3.01,2.985,0.02499999999999991
0,4,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,4,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,4,Nydegger,3.01,2.985,0.02499999999999991
0,4,Grofman,3.01,2.985,0.02499999999999991
0,4,Shubik,3.01,2.985,0.02499999999999991
0,4,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,4,GRIM,3.01,2.985,0.02499999999999991
0,4,Davis: 10,3.01,2.985,0.02499999999999991
0,4,Graaskamp: 0.05,3.495,2.02,1.475
0,4,Downing,1.125,1.05,0.07499999999999996
0,4,"Feld: 1.0, 0.5, 200",1.695,2.045,-0.34999999999999987
0,4,Joss: 0.9,2.275,2.525,-0.25
0,4,Tullock,1.385,1.36,0.02499999999999991
0,4,Anonymous,2.96,0.66,2.3
0,4,Random: 0.5,2.93,0.605,2.325
0,5,Cu,3.01,2.985,0.02499999999999991
0,5,Du,0.975,1.1,-0.1250000000000001
0,5,Tit For Tat,3.01,2.985,0.02499999999999991
0,5,spiteful,3.01,2.985,0.02499999999999991
0,5,soft_majo,3.01,2.985,0.02499999999999991
0,5,hard_majo,2.99,2.99,0.0
0,5,per_cd,2.685,1.31,1.375
0,5,per_ccd,3.29,1.19,2.1
0,5,per_ddc,2.29,0.765,1.525
0,5,mistrust,2.99,2.99,0.0
0,5,WSLS,3.01,2.985,0.02499999999999991
0,5,TFTT,3.01,2.985,0.02499999999999991
0,5,hard_tft,3.01,2.985,0.02499999999999991
0,5,slow_tft,3.01,2.985,0.02499999999999991
0,5,GrdTFT,3.01,2.985,0.02499999999999991
0,5,prober,3.005,2.98,0.02499999999999991
0,5,mem2,3.01,2.985,0.02499999999999991
0,5,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,5,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,5,Nydegger,3.01,2.985,0.02499999999999991
0,5,Grofman,3.01,2.985,0.02499999999999991
0,5,Shubik,3.01,2.985,0.02499999999999991
0,5,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,5,GRIM,3.01,2.985,0.02499999999999991
0,5,Davis: 10,3.01,2.985,0.02499999999999991
0,5,Graaskamp: 0.05,3.515,1.99,1.5250000000000001
0,5,Downing,1.125,1.05,0.07499999999999996
0,5,"Feld: 1.0, 0.5, 200",1.675,1.95,-0.2749999999999999
0,5,Joss: 0.9,2.22,2.495,-0.2749999999999999
0,5,Tullock,1.54,1.615,-0.07499999999999996
0,5,Anonymous,2.825,0.625,2.2
0,5,Random: 0.5,2.995,0.67,2.325
0,6,Cu,3.01,2.985,0.02499999999999991
0,6,Du,0.975,1.1,-0.1250000000000001
0,6,Tit For Tat,3.01,2.985,0.02499999999999991
0,6,spiteful,3.01,2.985,0.02499999999999991
0,6,soft_majo,3.01,2.985,0.02499999999999991
0,6,hard_majo,2.99,2.99,0.0
0,6,per_cd,2.685,1.31,1.375
0,6,per_ccd,3.29,1.19,2.1
0,6,per_ddc,2.29,0.765,1.525
0,6,mistrust,2.99,2.99,0.0
0,6,WSLS,3.01,2.985,0.02499999999999991
0,6,TFTT,3.01,2.985,0.02499999999999991
0,6,hard_tft,3.01,2.985,0.02499999999999991
0,6,slow_tft,3.01,2.985,0.02499999999999991
0,6,GrdTFT,3.01,2.985,0.02499999999999991
0,6,prober,3.005,2.98,0.02499999999999991
0,6,mem2,3.01,2.985,0.02499999999999991
0,6,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,6,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,6,Nydegger,3.01,2.985,0.02499999999999991
0,6,Grofman,3.01,2.985,0.02499999999999991
0,6,Shubik,3.01,2.985,0.02499999999999991
0,6,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,6,GRIM,3.01,2.985,0.02499999999999991
0,6,Davis: 10,3.01,2.985,0.02499999999999991
0,6,Graaskamp: 0.05,3.4,2.175,1.225
0,6,Downing,1.125,1.05,0.07499999999999996
0,6,"Feld: 1.0, 0.5, 200",1.715,1.99,-0.2749999999999999
0,6,Joss: 0.9,2.305,2.605,-0.2999999999999998
0,6,Tullock,1.345,1.495,-0.15000000000000013
0,6,Anonymous,2.955,0.655,2.3
0,6,Random: 0.5,2.865,1.315,1.5500000000000003
0,7,Cu,3.01,2.985,0.02499999999999991
0,7,Du,0.975,1.1,-0.1250000000000001
0,7,Tit For Tat,3.01,2.985,0.02499999999999991
0,7,spiteful,3.01,2.985,0.02499999999999991
0,7,soft_majo,3.01,2.985,0.02499999999999991
0,7,hard_majo,2.99,2.99,0.0
0,7,per_cd,2.685,1.31,1.375
0,7,per_ccd,3.29,1.19,2.1
0,7,per_ddc,2.29,0.765,1.525
0,7,mistrust,2.99,2.99,0.0
0,7,WSLS,3.01,2.985,0.02499999999999991
0,7,TFTT,3.01,2.985,0.02499999999999991
0,7,hard_tft,3.01,2.985,0.02499999999999991
0,7,slow_tft,3.01,2.985,0.02499999999999991
