iteration,objective,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold,rank,average_score_per_turn,gap_to_best_other,head_mean_margin,head_min_margin,head_negative_count
70,2.5708268939393935,0.684912623831964,1.4257740408045436,1.4956221214857512,0.41138513406173904,0.6407622685939138,0.41291735537252344,0.47991482900340937,1.0057138595753323,0.411956728073405,0.17500186035409465,0.7399111513872911,2,6,3.0878089596766474,0.16485685736657257,-0.1858316953555491,0.5222635519712674,0.661651351779789,0.14386734418249675,0.38787106979698693,0.3259117874888219,0.13776040183928076,0.5662922680128308,0.558526475017566,0.09073551734413927,0.17027180259818867,7,2.6259393939393934,-0.10357575757575876,0.31406249999999997,-1.16,5
60,2.570559469696969,0.4670480115854029,1.039787444381537,1.3972399016721972,0.453674718838465,0.3855621672523318,0.7257297286614313,0.5540123690434611,1.134262726922908,0.44413302811590993,0.05494556452030466,0.6917424452309258,2,5,2.88417509156166,0.2996337924362035,-0.0988356259706252,0.40110530645762077,0.5203691474316697,0.2735694773468081,0.6108067288860167,0.06892395904216483,0.1013847378819788,0.5279245922998392,0.8196848186066674,0.24799786339043273,-0.056246530147084084,6,2.631696969696969,-0.0974545454545459,0.3171874999999999,-1.2400000000000002,5
51,2.569635037878788,0.4431692057573632,0.9545640242955777,0.9568017726150522,0.42012819882168606,0.5259234612154453,0.9686771458640295,0.711560135188896,0.6491452625172779,0.7987040599432129,0.07507998321314147,0.680662615925014,2,5,2.0790645264255145,-0.05708193647633536,-0.20591429584583082,0.27236343443902483,0.5465970322538615,0.42577245398211083,0.6981898654113408,0.3039403854412426,0.16818596406664424,0.7122197300903201,0.3184694555595244,0.27560116907138893,0.45963794072072517,6,2.630878787878788,-0.10618181818181816,0.32296874999999997,-1.25,5
48,2.5688532196969707,0.5083283601963877,0.8004787958856994,1.7070372998587842,0.5602238837170938,0.5444059733045417,0.9011000892713044,0.7853452264192802,1.184858164503209,0.3670131389299439,0.3003628133646047,0.2971011438893052,0,4,2.2442475477193824,0.0563920899530968,0.11658683206533382,0.4984462173498283,0.6318049427628879,0.25232288481859866,0.3215581748225743,0.15051850550287138,0.32812314518154906,0.494575477275545,0.9387329723683571,0.09448162136337607,0.16311146916755423,6,2.6356969696969705,-0.09454545454545471,0.28296874999999994,-1.26,7
16,2.567272348484848,0.83734147923835,1.5594088090337377,1.653082831320611,0.32076504009625445,0.42261708721518104,0.4900864677282658,0.8373780275216458,0.8161956368253005,0.7942207967365389,0.31524012612853813,0.2968327281660147,2,4,3.1911828239496667,0.5367761137582867,0.030357700773733787,0.25165465647746904,0.6439624876576155,0.45229314349353744,0.29291168944726864,0.09891810151789651,0.14323691143697156,0.6631254608132369,0.47488853671601655,0.052551256393881286,0.3382407570031206,7,2.630484848484848,-0.09060606060606125,0.31656249999999997,-1.265,5
68,2.5669513257575756,0.3565266930500582,1.5206848311935648,1.3372398695923866,0.5063532652601299,0.78876700869786,1.0276122935403316,0.7309756018654137,0.8785817534715117,0.4645823094036522,0.25686331965946896,0.7182949448909246,0,8,2.4232663635568867,0.44314571212465953,-0.26419069334585754,0.46737878171872227,0.5918193727190894,0.35492711377874886,0.6763938178238267,0.061007077960318276,0.6704658183872448,0.20107392389128834,0.8995386130934635,0.05640645463762002,0.12497350267038837,7,2.629757575757576,-0.10357575757575788,0.30328125000000006,-1.24,7
35,2.566664772727273,0.6057302817487403,1.397352721482463,1.6524066943776166,0.3352208464470564,0.6007974552685653,1.090769587812056,0.8145019174811989,0.7073259447669573,0.6806638011053642,0.23596345055528012,0.26618287071910596,0,8,2.982039199611691,0.4484354273958869,0.8887954847793968,0.26317368233064387,0.9084885792400884,0.3893966490033667,0.6436822003241414,0.33540365602481964,0.1752751286271647,0.49629604763838153,0.39818986838141046,0.3160897595719287,0.006330794205518214,6,2.6327272727272732,-0.0980909090909079,0.2828125,-1.25,7
53,2.566210227272729,0.649395687942637,1.316253553913128,1.3170953292757575,0.24915535043344766,0.2662257732117531,0.5139320199038983,0.4915449143173556,0.45840875982319035,0.39033475935245165,0.075769747887433,0.684876651554791,0,8,2.144849069213768,0.21318729295939537,0.7878692413912423,0.47402656435870905,1.083557598165846,0.15584103751829104,0.5652686758075182,0.14271108215575795,0.6403426900187753,0.5236055747657926,0.8935811132356992,0.12479611535474498,-0.07953524853899202,6,2.636272727272729,-0.09427272727272573,0.2828125,-1.3,7
33,2.564898484848482,0.6739001153890058,1.2417271643581518,1.7696033541685514,0.22623892926687697,0.4930250406532204,0.8328412954988138,0.6167469205897762,0.8066431685636019,0.36607385588446056,0.20421653953782454,0.3495748557578904,1,8,2.52049106824524,0.08855762716195942,-0.278356528819046,0.28660671252881753,0.755309390203414,0.4369697038472059,0.31421182563041106,0.2098029985219792,0.470984099797197,0.7001820848807161,0.38198282632825525,0.14851956841903594,-0.017796429229370178,6,2.6288484848484823,-0.09900000000000286,0.30374999999999996,-1.2550000000000001,7
20,2.5629715909090884,0.36456337734176225,1.0437721241729543,1.7830678293089393,0.4391738085671969,0.5943413640342813,0.6580061834425515,0.5934042364518267,0.7516649264060573,0.4436768147450498,0.22831485310365002,0.3719778218603893,1,9,1.983386601994502,0.7339283727076111,-0.1521666099177613,0.5203032559950158,0.7401494460054425,0.43289097546337574,0.4394293420573365,0.19920749271348054,0.3149114220440064,0.6232790366201342,0.5977617942353923,0.0866340099540247,0.21167069781209988,6,2.6299090909090883,-0.1004242424242463,0.31218749999999995,-1.3050000000000002,7
25,2.5613051136363647,0.5739727620455668,1.6639601959819799,1.8236184794880663,0.20996940028402772,0.7156675277510136,0.49386971300849175,0.7599535862201887,1.1219266375084995,0.43484576948032827,0.11950156337263862,0.6973776916622627,0,5,2.50807362982713,0.515990034422612,0.22032784748067086,0.2326398693748677,0.8356344991619722,0.2293615014312486,0.45943700427280365,0.3063766895103772,0.29446920096969975,0.6035066398131641,0.6322848700957706,0.20299007827216764,0.09326824460175712,7,2.6266363636363645,-0.10451515151515167,0.29890625000000004,-1.265,7
59,2.560812499999998,0.8418554905282547,0.9281368675515221,1.4028219219779707,0.5641829692401277,0.27154811497558556,1.0547815856363791,0.8121676152545956,1.070694704008052,0.5114432454303538,0.3408573595749063,0.5920873057923717,1,4,2.1154528545213664,-0.05700750501599333,0.006157581352339847,0.16219958761176184,0.9337557712552398,0.3596771961267753,0.3900109207212491,0.19727318965108842,0.2821456088489107,0.4591117690161955,0.8045210097507574,0.28815353908172614,0.40446018892612723,6,2.6209999999999978,-0.10124242424242746,0.3184375,-1.23,7
7,2.560428219696967,0.6553362074949112,1.6904244177344019,0.9596887736265195,0.6171199436286988,0.46290343160989517,1.0789894963296647,0.6958900095932832,0.7946170754787043,0.5432902206506359,0.13428286721308136,0.39266168415565755,1,4,2.4881577807550608,-0.17354552465496725,-0.029516908574382716,0.2737569616936536,0.6084321965793074,0.41522265195758,0.37934756613287335,0.09770614833297353,0.42048365576593705,0.3171293712643516,0.33956745368590324,0.23241590070159546,-0.04410572103072959,7,2.617696969696967,-0.11015151515151889,0.32609374999999996,-1.205,7
