seed,repetition,opponent,eleanor_avg
0,5,Tit For Tat,3.01
0,5,spiteful,3.01
0,5,soft_majo,3.01
0,5,hard_majo,2.99
0,5,per_cd,2.685
0,5,per_ccd,3.29
0,5,per_ddc,2.29
0,5,mistrust,2.99
0,5,WSLS,3.01
0,5,TFTT,3.01
0,5,hard_tft,3.01
0,5,slow_tft,3.01
0,5,GrdTFT,3.01
0,5,prober,3.005
0,5,mem2,3.01
0,5,grok:grok-3-mini,3.01
0,5,Tideman & Chieruzzi,2.975
0,5,Nydegger,3.01
0,5,Grofman,3.01
0,5,Shubik,3.01
0,5,Stein & Rapoport: 0.05,2.975
0,5,GRIM,3.01
0,5,Davis: 10,3.01
0,5,Graaskamp: 0.05,3.515
0,5,Downing,1.125
0,5,"Feld: 1.0, 0.5, 200",1.675
0,5,Joss: 0.9,2.22
0,5,Tullock,1.54
0,5,Anonymous,2.825
0,5,Random: 0.5,2.995
0,6,Cu,3.01
0,6,Du,0.975
0,6,Tit For Tat,3.01
0,6,spiteful,3.01
0,6,soft_majo,3.01
0,6,hard_majo,2.99
0,6,per_cd,2.685
0,6,per_ccd,3.29
0,6,per_ddc,2.29
0,6,mistrust,2.99
0,6,WSLS,3.01
0,6,TFTT,3.01
0,6,hard_tft,3.01
0,6,slow_tft,3.01
0,6,GrdTFT,3.01
0,6,prober,3.005
0,6,mem2,3.01
0,6,grok:grok-3-mini,3.01
0,6,Tideman & Chieruzzi,2.975
0,6,Nydegger,3.01
0,6,Grofman,3.01
0,6,Shubik,3.01
0,6,Stein & Rapoport: 0.05,2.975
0,6,GRIM,3.01
0,6,Davis: 10,3.01
0,6,Graaskamp: 0.05,3.4
0,6,Downing,1.125
0,6,"Feld: 1.0, 0.5, 200",1.715
0,6,Joss: 0.9,2.305
0,6,Tullock,1.345
0,6,Anonymous,2.955
0,6,Random: 0.5,2.865
0,7,Cu,3.01
0,7,Du,0.975
0,7,Tit For Tat,3.01
0,7,spiteful,3.01
0,7,soft_majo,3.01
0,7,hard_majo,2.99
0,7,per_cd,2.685
0,7,per_ccd,3.29
0,7,per_ddc,2.29
0,7,mistrust,2.99
0,7,WSLS,3.01
0,7,TFTT,3.01
0,7,hard_tft,3.01
0,7,slow_tft,3.01
0,7,GrdTFT,3.01
0,7,prober,3.005
0,7,mem2,3.01
0,7,grok:grok-3-mini,3.01
0,7,Tideman & Chieruzzi,2.975
0,7,Nydegger,3.01
0,7,Grofman,3.01
0,7,Shubik,3.01
0,7,Stein & Rapoport: 0.05,2.975
0,7,GRIM,3.01
0,7,Davis: 10,3.01
0,7,Graaskamp: 0.05,3.41
0,7,Downing,1.125
0,7,"Feld: 1.0, 0.5, 200",2.025
0,7,Joss: 0.9,1.395
0,7,Tullock,1.485
0,7,Anonymous,2.97
0,7,Random: 0.5,3.01
0,8,Cu,3.01
0,8,Du,0.975
0,8,Tit For Tat,3.01
0,8,spiteful,3.01
0,8,soft_majo,3.01
0,8,hard_majo,2.99
0,8,per_cd,2.685
0,8,per_ccd,3.29
0,8,per_ddc,2.29
0,8,mistrust,2.99
0,8,WSLS,3.01
0,8,TFTT,3.01
0,8,hard_tft,3.01
0,8,slow_tft,3.01
0,8,GrdTFT,3.01
0,8,prober,3.005
0,8,mem2,3.01
0,8,grok:grok-3-mini,3.01
0,8,Tideman & Chieruzzi,2.975
0,8,Nydegger,3.01
0,8,Grofman,3.01
0,8,Shubik,3.01
0,8,Stein & Rapoport: 0.05,2.975
0,8,GRIM,3.01
0,8,Davis: 10,3.01
0,8,Graaskamp: 0.05,3.435
0,8,Downing,1.125
0,8,"Feld: 1.0, 0.5, 200",1.865
0,8,Joss: 0.9,2.215
0,8,Tullock,1.4
0,8,Anonymous,2.75
0,8,Random: 0.5,2.83
0,9,Cu,3.01
0,9,Du,0.975
0,9,Tit For Tat,3.01
0,9,spiteful,3.01
0,9,soft_majo,3.01
0,9,hard_majo,2.99
0,9,per_cd,2.685
0,9,per_ccd,3.29
0,9,per_ddc,2.29
0,9,mistrust,2.99
0,9,WSLS,3.01
0,9,TFTT,3.01
0,9,hard_tft,3.01
0,9,slow_tft,3.01
0,9,GrdTFT,3.01
0,9,prober,3.005
0,9,mem2,3.01
0,9,grok:grok-3-mini,3.01
0,9,Tideman & Chieruzzi,2.975
0,9,Nydegger,3.01
0,9,Grofman,3.01
0,9,Shubik,3.01
0,9,Stein & Rapoport: 0.05,2.975
0,9,GRIM,3.01
0,9,Davis: 10,3.01
0,9,Graaskamp: 0.05,3.34
0,9,Downing,1.125
0,9,"Feld: 1.0, 0.5, 200",1.65
0,9,Joss: 0.9,2.445
0,9,Tullock,1.365
0,9,Anonymous,3.07
0,9,Random: 0.5,2.76
0,10,Cu,3.01
0,10,Du,0.975
0,10,Tit For Tat,3.01
0,10,spiteful,3.01
0,10,soft_majo,3.01
0,10,hard_majo,2.99
0,10,per_cd,2.685
0,10,per_ccd,3.29
0,10,per_ddc,2.29
0,10,mistrust,2.99
0,10,WSLS,3.01
0,10,TFTT,3.01
0,10,hard_tft,3.01
0,10,slow_tft,3.01
0,10,GrdTFT,3.01
0,10,prober,3.005
0,10,mem2,3.01
0,10,grok:grok-3-mini,3.01
0,10,Tideman & Chieruzzi,2.975
0,10,Nydegger,3.01
0,10,Grofman,3.01
0,10,Shubik,3.01
0,10,Stein & Rapoport: 0.05,2.975
0,10,GRIM,3.01
0,10,Davis: 10,3.01
0,10,Graaskamp: 0.05,3.335
0,10,Downing,1.125
0,10,"Feld: 1.0, 0.5, 200",2.03
0,10,Joss: 0.9,1.485
0,10,Tullock,1.775
0,10,Anonymous,3.08
0,10,Random: 0.5,2.87
0,11,Cu,3.01
0,11,Du,0.975
0,11,Tit For Tat,3.01
0,11,spiteful,3.01
0,11,soft_majo,3.01
0,11,hard_majo,2.99
0,11,per_cd,2.685
0,11,per_ccd,3.29
0,11,per_ddc,2.29
0,11,mistrust,2.99
0,11,WSLS,3.01
0,11,TFTT,3.01
0,11,hard_tft,3.01
0,11,slow_tft,3.01
0,11,GrdTFT,3.01
0,11,prober,3.005
0,11,mem2,3.01
0,11,grok:grok-3-mini,3.01
0,11,Tideman & Chieruzzi,2.975
0,11,Nydegger,3.01
0,11,Grofman,3.01
0,11,Shubik,3.01
0,11,Stein & Rapoport: 0.05,2.975
0,11,GRIM,3.01
0,11,Davis: 10,3.01
0,11,Graaskamp: 0.05,3.48
0,11,Downing,1.125
0,11,"Feld: 1.0, 0.5, 200",1.565
0,11,Joss: 0.9,1.735
0,11,Tullock,1.605
0,11,Anonymous,2.885
0,11,Random: 0.5,2.38
0,12,Cu,3.01
0,12,Du,0.975
0,12,Tit For Tat,3.01
0,12,spiteful,3.01
0,12,soft_majo,3.01
0,12,hard_majo,2.99
0,12,per_cd,2.685
0,12,per_ccd,3.29
0,12,per_ddc,2.29
0,12,mistrust,2.99
0,12,WSLS,3.01
0,12,TFTT,3.01
0,12,hard_tft,3.01
0,12,slow_tft,3.01
0,12,GrdTFT,3.01
0,12,prober,3.005
0,12,mem2,3.01
0,12,grok:grok-3-mini,3.01
0,12,Tideman & Chieruzzi,2.975
0,12,Nydegger,3.01
0,12,Grofman,3.01
0,12,Shubik,3.01
0,12,Stein & Rapoport: 0.05,2.975
0,12,GRIM,3.01
0,12,Davis: 10,3.01
0,12,Graaskamp: 0.05,3.395
0,12,Downing,1.125
0,12,"Feld: 1.0, 0.5, 200",1.835
0,12,Joss: 0.9,1.415
0,12,Tullock,1.565
0,12,Anonymous,2.87
0,12,Random: 0.5,3.095
0,13,Cu,3.01
0,13,Du,0.975
0,13,Tit For Tat,3.01
0,13,spiteful,3.01
0,13,soft_majo,3.01
0,13,hard_majo,2.99
0,13,per_cd,2.685
0,13,per_ccd,3.29
0,13,per_ddc,2.29
0,13,mistrust,2.99
0,13,WSLS,3.01
0,13,TFTT,3.01
0,13,hard_tft,3.01
0,13,slow_tft,3.01
0,13,GrdTFT,3.01
0,13,prober,3.005
0,13,mem2,3.01
0,13,grok:grok-3-mini,3.01
0,13,Tideman & Chieruzzi,2.975
0,13,Nydegger,3.01
0,13,Grofman,3.01
0,13,Shubik,3.01
0,13,Stein & Rapoport: 0.05,2.975
0,13,GRIM,3.01
0,13,Davis: 10,3.01
0,13,Graaskamp: 0.05,3.425
0,13,Downing,1.125
0,13,"Feld: 1.0, 0.5, 200",1.645
0,13,Joss: 0.9,2.2
0,13,Tullock,1.37
0,13,Anonymous,2.685
0,13,Random: 0.5,2.905
0,14,Cu,3.01
0,14,Du,0.975
0,14,Tit For Tat,3.01
0,14,spiteful,3.01
0,14,soft_majo,3.01
0,14,hard_majo,2.99
0,14,per_cd,2.685
0,14,per_ccd,3.29
0,14,per_ddc,2.29
0,14,mistrust,2.99
0,14,WSLS,3.01
0,14,TFTT,3.01
0,14,hard_tft,3.01
0,14,slow_tft,3.01
0,14,GrdTFT,3.01
0,14,prober,3.005
0,14,mem2,3.01
0,14,grok:grok-3-mini,3.01
0,14,Tideman & Chieruzzi,2.975
0,14,Nydegger,3.01
0,14,Grofman,3.01
0,14,Shubik,3.01
0,14,Stein & Rapoport: 0.05,2.975
0,14,GRIM,3.01
0,14,Davis: 10,3.01
0,14,Graaskamp: 0.05,3.475
0,14,Downing,1.125
0,14,"Feld: 1.0, 0.5, 200",1.845
0,14,Joss: 0.9,2.225
0,14,Tullock,1.335
0,14,Anonymous,2.76
0,14,Random: 0.5,2.785
0,15,Cu,3.01
0,15,Du,0.975
0,15,Tit For Tat,3.01
0,15,spiteful,3.01
0,15,soft_majo,3.01
0,15,hard_majo,2.99
0,15,per_cd,2.685
0,15,per_ccd,3.29
0,15,per_ddc,2.29
0,15,mistrust,2.99
0,15,WSLS,3.01
0,15,TFTT,3.01
0,15,hard_tft,3.01
0,15,slow_tft,3.01
0,15,GrdTFT,3.01
0,15,prober,3.005
0,15,mem2,3.01
0,15,grok:grok-3-mini,3.01
0,15,Tideman & Chieruzzi,2.975
0,15,Nydegger,3.01
0,15,Grofman,3.01
0,15,Shubik,3.01
0,15,Stein & Rapoport: 0.05,2.975
0,15,GRIM,3.01
0,15,Davis: 10,3.01
0,15,Graaskamp: 0.05,3.435
0,15,Downing,1.125
0,15,"Feld: 1.0, 0.5, 200",1.705
0,15,Joss: 0.9,2.22
0,15,Tullock,1.31
0,15,Anonymous,2.86
0,15,Random: 0.5,2.66
0,16,Cu,3.01
0,16,Du,0.975
0,16,Tit For Tat,3.01
0,16,spiteful,3.01
0,16,soft_majo,3.01
0,16,hard_majo,2.99
0,16,per_cd,2.685
0,16,per_ccd,3.29
0,16,per_ddc,2.29
0,16,mistrust,2.99
0,16,WSLS,3.01
0,16,TFTT,3.01
0,16,hard_tft,3.01
0,16,slow_tft,3.01
0,16,GrdTFT,3.01
0,16,prober,3.005
0,16,mem2,3.01
0,16,grok:grok-3-mini,3.01
0,16,Tideman & Chieruzzi,2.975
0,16,Nydegger,3.01
0,16,Grofman,3.01
0,16,Shubik,3.01
0,16,Stein & Rapoport: 0.05,2.975
0,16,GRIM,3.01
0,16,Davis: 10,3.01
0,16,Graaskamp: 0.05,3.41
0,16,Downing,1.125
0,16,"Feld: 1.0, 0.5, 200",1.935
0,16,Joss: 0.9,1.675
0,16,Tullock,1.33
0,16,Anonymous,3.105
0,16,Random: 0.5,2.985
0,17,Cu,3.01
0,17,Du,0.975
0,17,Tit For Tat,3.01
0,17,spiteful,3.01
0,17,soft_majo,3.01
0,17,hard_majo,2.99
0,17,per_cd,2.685
0,17,per_ccd,3.29
0,17,per_ddc,2.29
0,17,mistrust,2.99
0,17,WSLS,3.01
0,17,TFTT,3.01
